name;maxSpeed;acceleration;fuelRateMixed;fuelType;wheelSize;truckMin;fuelVolume
18i sDrive 1.5 AT (136 ë.ñ.);200;9.7;5.4;AI-95;225/55/R17;505;61
118i 2.0 AT (136 ë.ñ.);204;10.0;7.6;AI-95;195/55/R16;330;53
760Li 6.0 AT (544 ë.ñ.);250;4.6;13.0;AI-98;245/50/R18;630;82
730d 3.0d AT (218 ë.ñ.);235;8.0;8.5;DT;245/55/R17;500;88
28i 3.0 AT (258 ë.ñ.) 4WD;205;6.8;9.4;AI-95;225/50/R17;420;63
35d 3.0d AT (269 ë.ñ.) 4WD;209;7.2;10.7;DT;255/55/R18;620;85
528i 2.8 AT (193 ë.ñ.);234;8.8;10.7;AI-95;225/65/R15;460;70
118i 1.6 AT (170 ë.ñ.);222;7.2;5.6;AI-95;195/55/R16;360;52
730i 2.0 AT (258 ë.ñ.);250;6.2;6.2;AI-95;225/60/R17;515;78
750Li 4.8 AT (367 ë.ñ.);250;6.0;11.4;AI-98;245/55/R17;500;88
740Li xDrive 3.0 AT (340 ë.ñ.) 4WD;250;5.1;8.4;AI-95;225/60/R17;515;78
M40i 3.0 AT (360 ë.ñ.) 4WD;250;4.8;8.9;AI-95;245/45/R20;550;60
730i 3.0 AT (188 ë.ñ.);222;11.3;11.7;AI-95;205/65/R15;501;90
118d 2.0d MT (122 ë.ñ.);201;9.0;5.6;DT;195/55/R16;330;50
760Li 6.0 AT (445 ë.ñ.);250;5.6;13.6;AI-95;245/50/R18;500;88
645i 4.4 AT (333 ë.ñ.);250;5.6;11.7;AI-95;245/45/R18;450;70
3.0d 2.9d AT (184 ë.ñ.) 4WD;200;10.5;9.7;DT;235/65/R17;465;92
620d xDrive 2.0d AT (190 ë.ñ.) 4WD;218;8.0;5.4;DT;225/60/R17;610;68
30d 3.0d AT (231 ë.ñ.) 4WD;210;8.1;8.7;DT;255/55/R18;620;85
740i 4.0 AT (306 ë.ñ.);250;6.9;11.2;AI-95;245/55/R17;500;88
120i 2.0 AT (150 ë.ñ.);214;9.2;6.5;AI-95;195/55/R16;330;50
328i xDrive 2.0 AT (245 ë.ñ.) 4WD;250;5.8;6.7;AI-95;225/50/R17;480;60
318i 2.0 MT (143 ë.ñ.);218;9.3;7.2;AI-95;205/55/R16;439;63
525d 3.0d AT (197 ë.ñ.);232;7.7;7.9;DT;225/55/R16;520;70
525xi 3.0 AT (218 ë.ñ.) 4WD;234;8.2;8.1;AI-95;225/50/R17;520;70
M760Li xDrive 6.6 AT (610 ë.ñ.) 4WD;250;3.7;12.8;AI-98;245/40/R20;515;78
535i 3.5 AT (235 ë.ñ.);247;7.0;10.2;AI-95;205/65/R15;460;70
745Li 4.4 AT (333 ë.ñ.);250;6.3;11.4;AI-95;245/55/R17;500;88
3.0 AMT (370 ë.ñ.);250;4.3;7.9;AI-98;245/35/R19;390;52
xDrive18d 2.0d AT (150 ë.ñ.) 4WD;206;9.4;4.9;DT;225/55/R17;470;51
20i sDrive 2.0 AT (192 ë.ñ.);225;7.7;5.9;AI-95;225/55/R17;505;61
735Li 3.5 AT (235 ë.ñ.);240;8.4;13.0;AI-95;235/60/R16;500;85
330i xDrive 2.0 AT (249 ë.ñ.) 4WD;250;5.8;6.2;AI-95;225/50/R17;480;60
4.6is 4.6 AT (347 ë.ñ.) 4WD;240;6.5;11.4;AI-95;275/40/R20;465;92
218i 1.5 AMT (140 ë.ñ.);215;8.7;5.4;AI-95;205/55/R16;430;42
4.9 MT (400 ë.ñ.);250;5.3;13.9;AI-98;245/40/R18;460;70
530d 2.9d AT (193 ë.ñ.);230;8.0;8.3;DT;225/60/R15;460;70
120d 2.0d AT (184 ë.ñ.);228;7.3;4.5;DT;205/55/R16;360;52
430i 2.0 AT (249 ë.ñ.);250;5.8;5.5;AI-95;225/50/R17;445;60
750Ld xDrive 3.0d AT (400 ë.ñ.) 4WD;250;4.7;5.7;DT;225/60/R17;515;78
440i xDrive 3.0 AT (326 ë.ñ.) 4WD;250;4.9;7.0;AI-95;225/50/R17;445;60
740d xDrive 3.0d AT (313 ë.ñ.) 4WD;250;5.4;6.0;DT;245/50/R18;500;80
40e 2.0hyb AT (245 ë.ñ.) 4WD;210;6.8;3.3;AI-95;255/55/R18;650;85
2.0d AT (190 ë.ñ.) 4WD;225;7.7;4.8;DT;225/55/R17;520;60
318d 2.0d AT (150 ë.ñ.);224;8.3;4.5;DT;205/60/R16;480;40
725Ld 2.0d AT (231 ë.ñ.);245;7.0;5.0;DT;225/60/R17;515;78
M40i 3.0 AT (340 ë.ñ.);250;4.5;7.4;AI-95;255/40/R18;281;52
520d 2.0d MT (190 ë.ñ.);238;7.7;4.5;DT;225/55/R17;530;68
330i 3.0 AT (231 ë.ñ.);247;7.0;9.6;AI-95;205/50/R17;439;63
35i 3.0 AMT (306 ë.ñ.);240;6.7;10.1;AI-95;255/50/R19;724;85
325i 3.0 AT (218 ë.ñ.);247;6.9;8.4;AI-95;225/45/R17;440;63
